time,CHD_L01,CHD_L06,CHD_L11,CHD_L13
30289.50,-16.0134,-42.3920,-42.3920,-43.9312
30290.50,-16.0095,-42.5078,-42.5078,-43.9160
30291.50,-16.0049,-42.6267,-42.6267,-43.9038
30292.50,-16.0067,-42.6358,-42.6358,-43.9160
30293.50,-16.0107,-42.6053,-42.6053,-43.9373
30294.50,-16.0113,-42.4773,-42.4773,-43.9556
30295.50,-16.0128,-42.6480,-42.6480,-43.9678
30296.50,-16.0125,-42.7120,-42.7120,-43.9769
30297.50,-16.0137,-42.6846,-42.6846,-43.9870
30298.50,-16.0119,-42.7394,-42.7394,-43.9861
30299.50,-16.0110,-42.8461,-42.8461,-43.9739
30300.50,-16.0125,-42.9040,-42.9040,-43.9891
30301.50,-16.0143,-42.8035,-42.8035,-44.0105
30302.50,-16.0162,-42.8187,-42.8187,-44.0349
30303.50,-16.0174,-42.8797,-42.8797,-44.0501
30304.50,-16.0189,-42.9680,-42.9680,-44.0623
30305.50,-16.0201,-43.0382,-43.0382,-44.0440
30306.50,-16.0210,-43.0717,-43.0717,-44.0349
30307.50,-16.0220,-43.0686,-43.0686,-44.0410
30308.50,-16.0229,-43.0412,-43.0412,-44.0745
30309.50,-16.0238,-43.0778,-43.0778,-44.1111
30310.50,-16.0244,-43.1418,-43.1418,-44.1537
30311.50,-16.0250,-43.1113,-43.1113,-44.1781
30312.50,-16.0259,-43.0412,-43.0412,-44.1873
30313.50,-16.0265,-43.0351,-43.0351,-44.1955
30314.50,-16.0271,-43.0290,-43.0290,-44.2025
30315.50,-16.0281,-43.0138,-43.0138,-44.2055
30316.50,-16.0290,-43.0229,-43.0229,-44.2116
30317.50,-16.0296,-43.0564,-43.0564,-44.2330
30318.50,-16.0305,-43.0412,-43.0412,-44.2513
30319.50,-16.0314,-43.0442,-43.0442,-44.2574
30320.50,-16.0320,-42.9833,-42.9833,-44.2604
30321.50,-16.0329,-43.0046,-43.0046,-44.2635
30322.50,-16.0338,-43.0229,-43.0229,-44.2482
30323.50,-16.0348,-43.0199,-43.0199,-44.2482
30324.50,-16.0357,-43.0138,-43.0138,-44.2482
30325.50,-16.0366,-42.9924,-42.9924,-44.2452
30326.50,-16.0375,-43.0412,-43.0412,-44.2299
30327.50,-16.0384,-43.0351,-43.0351,-44.2208
30328.50,-16.0393,-43.0656,-43.0656,-44.2238
30329.50,-16.0402,-43.1784,-43.1784,-44.2086
30330.50,-16.0412,-43.2088,-43.2088,-44.1995
30331.50,-16.0421,-43.2698,-43.2698,-44.1842
30332.50,-16.0430,-43.2759,-43.2759,-44.1751
30333.50,-16.0439,-43.2576,-43.2576,-44.1873
30334.50,-16.0448,-43.2515,-43.2515,-44.1995
30335.50,-16.0457,-43.2942,-43.2942,-44.1934
30336.50,-16.0463,-43.2789,-43.2789,-44.1812
30337.50,-16.0473,-43.2210,-43.2210,-44.1903
30338.50,-16.0482,-43.2911,-43.2911,-44.2025
30339.50,-16.0488,-43.4070,-43.4070,-44.2147
30340.50,-16.0497,-43.4649,-43.4649,-44.2208
30341.50,-16.0503,-43.5350,-43.5350,-44.2208
30342.50,-16.0509,-43.6051,-43.6051,-44.2299
30343.50,-16.0518,-43.5685,-43.5685,-44.2513
30344.50,-16.0524,-43.5716,-43.5716,-44.2635
30345.50,-16.0530,-43.6417,-43.6417,-44.2665
